college_code,cast,cutoff,year,tier
1026,SC,160.5,2022,2
1026,SC,160.5,2023,2
1026,SC,160.5,2024,2
1026,SCA,127.5,2020,2
1026,SCA,127.5,2021,2
1026,SCA,160.5,2022,2
1026,SCA,127.5,2023,2
1026,SCA,127.5,2024,2
1026,ST,132.0,2020,2
1026,ST,132.0,2021,2
1026,ST,160.5,2022,2
1026,ST,132.0,2023,2
1026,ST,160.5,2024,2
1112,BC,176.5,2020,2
1112,BC,176.5,2021,2
1112,BC,181.0,2022,2
1112,BC,176.5,2023,2
1112,BC,176.5,2024,2
1112,BCM,171.5,2020,2
1112,BCM,171.5,2021,2
1112,BCM,176.5,2022,2
1112,BCM,171.5,2023,2
1112,BCM,171.5,2024,2
1112,MBC,174.0,2020,2
1112,MBC,174.0,2021,2
1112,MBC,174.0,2022,2
1112,MBC,174.0,2023,2
1112,MBC,174.0,2024,2
1112,MBCDNC,174.0,2022,2
1112,OC,181.0,2020,2
1112,OC,181.0,2021,2
1112,OC,181.0,2022,2
1112,OC,181.0,2023,2
1112,OC,181.0,2024,2
1112,SC,150.0,2020,2
1112,SC,150.0,2021,2
1112,SC,150.0,2022,2
1112,SC,150.0,2023,2
1112,SC,150.0,2024,2
1112,SCA,113.0,2020,2
1112,SCA,113.0,2021,2
1112,SCA,150.0,2022,2
1112,SCA,113.0,2023,2
1112,ST,132.0,2020,2
1112,ST,132.0,2021,2
1112,ST,150.0,2022,2
1112,ST,132.0,2023,2
1112,ST,150.0,2024,2
1113,BC,184.0,2020,2
1113,BC,184.0,2021,2
1113,BC,188.0,2022,2
1113,BC,184.0,2023,2
1113,BC,184.0,2024,2
1113,BCM,177.5,2020,2
1113,BCM,177.5,2021,2
1113,BCM,184.0,2022,2
1113,BCM,177.5,2023,2
1113,BCM,177.5,2024,2
1113,MBC,183.0,2020,2
1113,MBC,183.0,2021,2
1113,MBC,183.0,2022,2
1113,MBC,183.0,2023,2
1113,MBC,183.0,2024,2
1113,MBCDNC,183.0,2022,2
1113,OC,188.0,2020,2
1113,OC,188.0,2021,2
1113,OC,188.0,2022,2
1113,OC,188.0,2023,2
1113,OC,188.0,2024,2
1113,SC,167.5,2020,2
1113,SC,167.5,2021,2
1113,SC,167.5,2022,2
1113,SC,167.5,2023,2
1113,SC,167.5,2024,2
1113,SCA,130.5,2020,2
1113,SCA,130.5,2021,2
1113,SCA,167.5,2022,2
1113,SCA,130.5,2023,2
1113,SCA,129.0,2024,2
1113,ST,139.0,2020,2
1113,ST,139.0,2021,2
1113,ST,167.5,2022,2
1113,ST,139.0,2023,2
1113,ST,167.5,2024,2
1116,BC,156.0,2020,2
1116,BC,156.0,2021,2
1116,BC,172.5,2022,2
1116,BC,156.0,2023,2
1116,BC,156.0,2024,2
1116,BCM,155.5,2020,2
1116,BCM,155.5,2021,2
1116,BCM,156.0,2022,2
1116,BCM,155.5,2023,2
1116,BCM,155.5,2024,2
1116,MBC,159.0,2020,2
1116,MBC,159.0,2021,2
1116,MBC,159.0,2022,2
1116,MBC,159.0,2023,2
1116,MBC,159.0,2024,2
1116,MBCDNC,159.0,2022,2
1116,OC,172.5,2020,2
1116,OC,172.5,2021,2
1116,OC,172.5,2022,2
1116,OC,172.5,2023,2
1116,OC,172.5,2024,2
1116,SC,114.0,2020,2
1116,SC,114.0,2021,2
1116,SC,114.0,2022,2
1116,SC,114.0,2023,2
1116,SC,107.0,2024,2
1116,SCA,107.0,2022,2
1116,ST,107.0,2022,2
1116,ST,114.0,2024,2
1120,BC,163.5,2020,2
1120,BC,163.5,2021,2
1120,BC,173.0,2022,2
1120,BC,163.5,2023,2
1120,BC,163.5,2024,2
1120,BCM,163.5,2020,2
1120,BCM,163.5,2021,2
1120,BCM,163.5,2022,2
1120,BCM,163.5,2023,2
1120,BCM,163.5,2024,2
1120,MBC,159.0,2020,2
1120,MBC,159.0,2021,2
1120,MBC,161.5,2022,2
1120,MBC,159.0,2023,2
1120,MBC,159.0,2024,2
1120,MBCDNC,159.0,2022,2
1120,OC,173.0,2020,2
1120,OC,173.0,2021,2
1120,OC,173.0,2022,2
1120,OC,173.0,2023,2
1120,OC,173.0,2024,2
1120,SC,132.0,2020,2
1120,SC,132.0,2021,2
1120,SC,132.0,2022,2
1120,SC,132.0,2023,2
1120,SC,132.0,2024,2
1120,SCA,132.0,2022,2
1120,ST,155.5,2020,2
1120,ST,155.5,2021,2
1120,ST,155.5,2022,2
1120,ST,155.5,2023,2
1120,ST,132.0,2024,2
1128,BC,168.5,2020,2
1128,BC,168.5,2021,2
1128,BC,173.5,2022,2
1128,BC,168.5,2023,2
1128,BC,168.5,2024,2
1128,BCM,170.5,2020,2
1128,BCM,170.5,2021,2
1128,BCM,170.5,2022,2
1128,BCM,170.5,2023,2
1128,BCM,170.5,2024,2
1128,MBC,163.5,2020,2
1128,MBC,163.5,2021,2
1128,MBC,163.5,2022,2
1128,MBC,163.5,2023,2
1128,MBC,163.5,2024,2
1128,MBCDNC,163.5,2022,2
